cntry,year,mean_attitude,n_respondents,net_restrict_score,n_restrict,n_liberal,n_policy_actions,net_major_score,net_nonmajor_score
SI,2012,4.848444444444445,1125,-5,3,8,11,0,-5
SI,2014,4.463246324632464,1111,5,7,2,9,2,3
SI,2016,4.244416171897088,1179,0,14,14,28,5,-5
SI,2018,4.402393310265283,1156,-5,14,19,33,6,-11
SI,2020,4.82406576980568,1115,-2,9,11,20,-1,-1
SK,2004,4.654060606060606,1375,3,11,8,19,-2,5
SK,2006,4.957530120481928,1660,6,10,4,14,-2,8
SK,2008,4.6317394726485634,1694,-2,6,8,14,-2,0
SK,2010,4.432795698924731,1736,-2,6,8,14,-2,0
SK,2012,4.355117370892018,1775,-4,6,10,16,-1,-3
SK,2018,3.765689057079786,1057,-13,15,28,43,1,-14
SK,2020,3.763297232250301,1385,-11,10,21,31,0,-11
